2026-03-25 17:10:27,餐饮美食,快乐**吧,158******08,超市瑞利来Super Seed混合种籽900g混合种子谷物膳食纤维健身代餐,支出,0.00,,支付成功,2026032523001113141432051209	,T200P4502213677037018545	,,
2026-03-25 08:18:23,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-25 07:42:48--奥体东2026-03-25 08:18:12),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032522001413141426863372	,T000020101507260325074248179178	,,
2026-03-24 22:16:05,文化休闲,属你**店,381***@qq.com,杀戮尖塔2 联机修改器辅助 支持正版STEAM游戏 PC电脑单机存档,支出,26.99,中国银行储蓄卡(4738),等待确认收货,2026032423001113141428481042	,T200P4502203632006063737	,,
2026-03-24 21:28:37,日用百货,x***o,110***@qq.com,【官仓直发！全新正品】Thimax膳美师轻食破壁机小型大功率,支出,738.00,中国银行储蓄卡(4738),等待确认收货,2026032423001113141427304988	,T200P4502208889008018545	,,
2026-03-24 19:09:38,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-24 18:33:11--红山动物园2026-03-24 19:09:31),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032422001413141426889060	,T000002021907260324183311024888	,,
2026-03-24 18:20:16,退款,海底**店,hyy***@haidilao.com,退款-【优惠价】【拍10件99元】海底捞虾滑火锅食材青虾95%冷冻早餐虾丸虾球100g,不计收支,0.00,,退款成功,2026032423001113141427966256_4502191646207018545	,T200P4502191646207018545	,,
2026-03-24 18:08:57,餐饮美食,海底**店,hyy***@haidilao.com,【优惠价】【拍10件99元】海底捞虾滑火锅食材青虾95%冷冻早餐虾丸虾球100g,支出,0.00,,支付成功,2026032423001113141427966256	,T200P4502191646207018545	,,
2026-03-24 18:08:20,退款,海底**店,hyy***@haidilao.com,退款-【优惠价】【拍10件99元】海底捞虾滑火锅食材青虾95%冷冻早餐虾丸虾球100g,不计收支,0.00,,退款成功,2026032423001113141428464081_4502197980017018545	,T200P4502197980017018545	,,
2026-03-24 18:04:37,餐饮美食,海底**店,hyy***@haidilao.com,【优惠价】【拍10件99元】海底捞虾滑火锅食材青虾95%冷冻早餐虾丸虾球100g,支出,0.00,,支付成功,2026032423001113141428464081	,T200P4502197980017018545	,,
2026-03-24 08:21:54,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-24 07:42:59--奥体东2026-03-24 08:21:43),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032422001413141424156988	,T000020101507260324074259934552	,,
2026-03-23 19:19:07,医疗健康,江苏奇冠药店有限公司燕亭路药店,/,医保支付(不含自费),支出,0.00,,支付成功,20260323131483095442	,20260323191917650204803	,,
2026-03-23 19:06:18,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-23 18:26:55--红山动物园2026-03-23 19:06:10),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032322001413141423479449	,T000002021908260323182655649373	,,
2026-03-23 08:18:58,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-23 07:42:33--奥体东2026-03-23 08:18:47),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032322001413141419150284	,T000020101505260323074233872060	,,
2026-03-22 23:34:24,文化休闲,鲁班**5,151******50,杀戮尖塔2 存档 全角色卡牌药水遗物解锁 steam联机 远程不含游戏,支出,19.80,中国银行储蓄卡(4738),等待确认收货,2026032223001113141418220114	,T200P4502177928143018545	,,
2026-03-22 22:54:29,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,27.08,中国银行储蓄卡(4738),交易成功,2026032223001413141416493106	,0003N202603220000000014915362853	,,
2026-03-22 20:31:44,文化休闲,li**8,330***@qq.com,lol账号雷瑟守备精粹号 英雄联盟帐号电信八区排位号雷瑟30级金币,支出,8.80,中国银行储蓄卡(4738),交易成功,2026032223001113141417715532	,T200P4502195102116018545	,,
2026-03-22 15:31:10,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-22 15:16:06--珠江路2026-03-22 15:32:38),支出,3.00,中国银行储蓄卡(4738),交易成功,2026032222001413141418404246	,T000020101507260322151606328566	,,
2026-03-21 17:31:53,文化休闲,tb**8,177******04,杀戮尖塔2 内置修改卡牌升级新增移除 商人修改战斗修改 自动发货,支出,19.00,中国银行储蓄卡(4738),等待确认收货,2026032123001113141414882140	,T200P4502190819070027727	,,
2026-03-20 18:11:57,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-20 17:36:31--红山动物园2026-03-20 18:11:51),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032022001413141407231300	,T000002021909260320173631394150	,,
2026-03-20 17:23:33,餐饮美食,麦当劳,mds***@cn.mcd.com,【10种任选】麦当劳1+1堡堡自由拼,支出,23.90,中国银行储蓄卡(4738),交易成功,2026032022001413141409560279	,20260320016000001301435820950086	,,
2026-03-20 11:12:02,退款,x***1,190******75,退款-【O麦金卡会员】【拍下直充】麦当劳O麦金会员卡密兑换(自动发,不计收支,0.18,余额宝,退款成功,2026031823001113141454815139_4502166696033018545	,T200P4502166696033018545	,,
2026-03-20 08:24:05,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-20 07:48:15--奥体东2026-03-20 08:23:39),支出,5.00,中国银行储蓄卡(4738),交易成功,2026032022001413141404501669	,T000020101506260320074815087058	,,
2026-03-20 07:56:38,文化休闲,App Store & Apple Music,tpa***@apple.com,App Store & Apple Music；03.20购买,支出,40.00,中国银行储蓄卡(4738),交易成功,2026032022001413141405281184	,MXG54JSW14a0	,,
2026-03-19 19:06:04,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-19 18:26:14--红山动物园2026-03-19 19:06:00),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031922001413141405233831	,T000002021908260319182614942271	,,
2026-03-19 08:22:14,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-19 07:46:29--奥体东2026-03-19 08:21:54),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031922001413141459124359	,T000020101506260319074629139340	,,
2026-03-18 19:06:15,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-18 18:26:40--红山动物园2026-03-18 19:06:11),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031822001413141400435366	,T000002021906260318182640712169	,,
2026-03-18 11:47:25,文化休闲,tb**2,199******53,麦当劳o麦金会员月卡1个月 麦当劳会员月卡麦卡会员 享8大权益,支出,16.50,中国银行储蓄卡(4738),交易成功,2026031823001113141453661292	,T100P4502167670035018545	,,
2026-03-18 11:45:32,退款,熊***啊,135***@qq.com,退款-【O麦金卡会员】【拍下直充】麦当劳O麦金会员卡密兑换(自动发,不计收支,0.01,余额宝,退款成功,2026031823001113141453599260_4502163744027018545	,T200P4502163744027018545	,,
2026-03-18 11:43:53,日用百货,熊***啊,135***@qq.com,【O麦金卡会员】【拍下直充】麦当劳O麦金会员卡密兑换(自动发,支出,0.01,余额宝,交易关闭,2026031823001113141453599260	,T200P4502163744027018545	,,
2026-03-18 11:41:24,日用百货,x***1,190******75,【O麦金卡会员】【拍下直充】麦当劳O麦金会员卡密兑换(自动发,支出,0.18,余额宝,交易关闭,2026031823001113141454815139	,T200P4502166696033018545	,,
2026-03-18 07:54:10,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-18 07:48:02--红山动物园2026-03-18 07:54:01),支出,2.00,中国银行储蓄卡(4738),交易成功,2026031822001413141452741127	,T000020101505260318074802004132	,,
2026-03-17 19:09:26,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-17 18:31:01--红山动物园2026-03-17 19:09:18),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031722001413141452147722	,T000002021908260317183101157052	,,
2026-03-17 08:23:25,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-17 07:46:03--奥体东2026-03-17 08:23:04),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031722001413141448113270	,T000020101506260317074603046300	,,
2026-03-16 19:07:38,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-16 18:28:54--红山动物园2026-03-16 19:07:31),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031622001413141445182294	,T000002021906260316182854149726	,,
2026-03-16 08:25:24,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-16 07:49:47--奥体东2026-03-16 08:25:03),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031622001413141439223355	,T000020101507260316074947782358	,,
2026-03-15 10:47:55,文化休闲,Steam,sup***@nuvei.com,Steam Purchase,支出,79.20,中国银行储蓄卡(4738),交易成功,2026031522001413141435366999	,2026031519074101000030023703988	,,
2026-03-14 22:41:44,家居家装,猫人聚升兴专卖店,jxs***@163.com,猫人午睡枕办公室趴睡枕工位午休神器学生趴桌子睡觉枕头儿童趴枕,不计收支,59.80,,交易关闭,2026031423001113141433339299	,T200P4502127204021018545	,,
2026-03-14 10:25:04,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,14.91,中国银行储蓄卡(4738),交易成功,2026031422001413141428859522	,0003N202603140000000014796185864	,,
2026-03-14 09:26:05,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,15.75,中国银行储蓄卡(4738),交易成功,2026031423001413141429534726	,0003N202603140000000014747111317	,,
2026-03-13 18:45:39,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-13 18:11:42--红山动物园2026-03-13 18:45:18),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031322001413141429928175	,T000002021906260313181142926930	,,
2026-03-13 17:50:41,日用百货,x***8,130******83,麦当劳代下单O麦金四件套新品板烧鸡腿堡麦辣巨无霸安格斯鳕鱼,支出,38.50,中国银行储蓄卡(4738),交易成功,2026031323001113141430699556	,T200P4502116478223027727	,,
2026-03-13 08:22:16,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-13 07:45:53--奥体东2026-03-13 08:22:02),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031322001413141425822886	,T000002011508260313074553010544	,,
2026-03-12 08:24:31,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-12 07:47:37--奥体东2026-03-12 08:24:22),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031222001413141420746134	,T000002011515260312074737507614	,,
2026-03-11 19:05:46,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-11 18:26:58--红山动物园2026-03-11 19:05:50),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031122001413141421512730	,T000002021907260311182658294075	,,
2026-03-11 08:21:13,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-11 07:44:14--奥体东2026-03-11 08:20:51),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031122001413141416665153	,T000002011515260311074414872814	,,
2026-03-10 19:02:19,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-10 18:29:15--红山动物园2026-03-10 19:02:21),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031022001413141416452146	,T000002021907260310182915913807	,,
2026-03-10 08:28:11,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-10 07:51:16--奥体东2026-03-10 08:28:03),支出,5.00,中国银行储蓄卡(4738),交易成功,2026031022001413141411089420	,T000002011508260310075116551280	,,
2026-03-09 19:02:12,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-03-09 18:23:50--红山动物园2026-03-09 19:02:09),支出,5.00,中国银行储蓄卡(4738),交易成功,2026030922001413141411647548	,T000002021906260309182350219558	,,
2026-03-09 08:18:15,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-09 07:43:36--奥体东2026-03-09 08:17:44),支出,5.00,中国银行储蓄卡(4738),交易成功,2026030922001413141407126771	,T000002011509260309074336191348	,,
2026-03-08 09:37:41,美容美发,厦门**司,c2m***@service.aliyun.com,二硫化硒去屑洗发水白云山专用控油蓬松止痒护理改善毛囊官方正品,支出,29.90,中国银行储蓄卡(4738),支付成功,20260308300000013913141231968669	,T200P5084283421250756518	,,
2026-03-06 17:56:55,交通出行,滴滴出行,gzq***@didiglobal.com,单车,支出,1.80,中国银行储蓄卡(4738),交易成功,2026030623001413141455304407	,249_202603063991299702269653	,,
2026-03-06 08:26:47,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-03-06 07:47:38--奥体东2026-03-06 08:26:36),支出,5.00,中国银行储蓄卡(4738),交易成功,2026030622001413141452083143	,T000002011508260306074738538591	,,
2026-03-05 22:38:19,日用百货,x***0,153******72,2026年金考典正版激活码题库考试软件,支出,16.00,中国银行储蓄卡(4738),交易成功,2026030523001113141452135483	,T200P4502078100107072919	,,
2026-03-05 21:11:59,文化休闲,南京锐扬软件科技有限公司,nan***@163.com,移动支付,支出,29.20,中国银行储蓄卡(4738),交易成功,2026030522001413141452414514	,986030513253928622058102	,,
2026-03-05 16:00:54,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(南京站2026-03-05 15:51:50--红山动物园2026-03-05 16:00:42),支出,2.00,中国银行储蓄卡(4738),交易成功,2026030522001413141447024008	,T000020701423260305155150996281	,,
2026-03-05 15:39:54,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-世纪大道-2026-03-05 13:05:27-上海火车站-2026-03-05 13:39:51,支出,4.00,中国银行储蓄卡(4738),交易成功,2026030522001413141447126304	,26030515395420200022	,,
2026-03-05 14:05:44,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-浦东大道-2026-03-05 11:53:11-世纪大道-2026-03-05 12:05:41,支出,3.00,中国银行储蓄卡(4738),交易成功,2026030522001413141447409700	,26030514054420200104	,,
2026-03-05 11:28:39,退款,上海凯宾斯基大酒店,/,退款-上海凯宾斯基大酒店,不计收支,999.92,中国银行储蓄卡(4738)&红包,退款成功,2026030222001413141432374299_982017092208872157100107014645000122603050033922	,982017092208872157100107014645000012603020013925	,,
2026-03-05 08:57:10,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,19.80,中国银行储蓄卡(4738),交易成功,2026030523001413141445334345	,0003N202603050000000014638629682	,,
2026-03-04 18:44:20,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,17.00,中国银行储蓄卡(4738),交易成功,2026030422001413141442593580	,0003N202603040000000014632661144	,,
2026-03-04 08:52:35,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,19.80,中国银行储蓄卡(4738),交易成功,2026030422001413141441006370	,0003N202603040000000014608703332	,,
2026-03-03 22:15:08,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-浦东南路-2026-03-03 20:06:45-陆家嘴-2026-03-03 20:15:05,支出,3.00,中国银行储蓄卡(4738),交易成功,2026030322001413141442440273	,26030322150810500066	,,
2026-03-03 20:22:41,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-陆家嘴-2026-03-03 18:16:28-浦东南路-2026-03-03 18:22:37,支出,3.00,中国银行储蓄卡(4738),交易成功,2026030322001413141436865826	,26030320224020200752	,,
2026-03-02 22:17:35,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-浦东南路-2026-03-02 20:10:59-陆家嘴-2026-03-02 20:17:32,支出,3.00,中国银行储蓄卡(4738),交易成功,2026030222001413141432988347	,26030222173510500105	,,
2026-03-02 20:54:43,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-陆家嘴-2026-03-02 18:49:55-浦东南路-2026-03-02 18:54:39,支出,3.00,中国银行储蓄卡(4738),交易成功,2026030222001413141432935780	,26030220544210500364	,,
2026-03-02 20:18:48,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,12.00,中国银行储蓄卡(4738),交易成功,2026030223001413141435696621	,0003N202603020000000014607245627	,,
2026-03-02 18:29:41,酒店旅游,上海凯宾斯基大酒店,/,上海凯宾斯基大酒店,支出,999.92,中国银行储蓄卡(4738)&红包,交易关闭,2026030222001413141432374299	,982017092208872157100107014645000012603020013925	,,
2026-03-02 12:17:38,交通出行,上海公共交通卡股份有限公司,zfb***@sptcc.com,上海地铁-上海火车站-2026-03-02 09:49:14-浦东大道-2026-03-02 10:17:35,支出,4.00,中国银行储蓄卡(4738),交易成功,2026030222001413141431960515	,26030212173810500096	,,
2026-03-01 21:58:04,充值缴费,中国移动,zyd***@163.com,为197****5943用户办理话费充值-订单编号:665099869089841100,支出,50.00,中国银行储蓄卡(4738),交易成功,2026030122001413141428081026	,02502026030121575611115756984774	,,
2026-02-28 16:06:16,餐饮美食,肯德基（万谷慧）,njg***@yum.com,KFC_PREAF10012602909313608184166,支出,9.00,中国银行储蓄卡(4738),交易成功,2026022822001413141422494028	,AF10012602909313608184166	,,
2026-02-27 19:59:24,文化休闲,南京锐扬软件科技有限公司,nan***@163.com,移动支付,支出,118.33,中国银行储蓄卡(4738),交易成功,2026022722001413141418155554	,986022746604859973336646	,,
2026-02-27 19:31:34,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(奥体东2026-02-27 18:52:11--红山动物园2026-02-27 19:31:17),支出,5.00,中国银行储蓄卡(4738),交易成功,2026022722001413141418716999	,T000002021907260227185211951774	,,
2026-02-27 08:24:19,交通出行,南京地铁运营有限责任公司,njd***@njmetro.com.cn,南京地铁(红山动物园2026-02-27 07:49:35--奥体东2026-02-27 08:23:42),支出,5.00,中国银行储蓄卡(4738),交易成功,2026022722001413141417539532	,T000002011508260227074935445727	,,
